,Labels,Accuracy
0,demography,0.97
1,history,0.94
2,climate,0.9
3,transport,0.89
4,geography,0.84
5,sport,0.84
6,education,0.79
7,economics,0.78
8,media,0.72
9,culture,0.71
10,people,0.68
11,etymology,0.64
12,politics,0.64
13,international_affairs,0.56
14,health,0.53
15,tourism,0.43
16,recreation,0.43
17,sights,0.35
18,faith,0.33
19,district,0.26
20,facility,0.24
21,environment,0.24
22,law,0.2
23,infrastructure,0.19
24,crime,0.18
25,other,0.17
26,architecture,0.15
27,society,0.09
28,overview,0.04
29,science,0.0
